time,error,deltaError,fuzzy_control,sensor_0,sensor_1,sensor_2,sensor_3,motor_L,motor_R,pos_x,pos_y
3.78,-59.66,13.22,-0.73,75.43,182.04,159.66,69.03,5.91,6.28,0.44,0.04
3.84,-91.79,-32.13,-5.24,67.33,208.77,191.79,65.53,3.66,6.28,0.44,0.05
3.90,-118.10,-26.31,-5.28,67.01,226.17,218.10,65.00,3.64,6.28,0.44,0.06
3.97,-153.49,-35.39,-5.28,70.77,223.67,253.49,72.98,3.64,6.28,0.44,0.06
4.03,-217.89,-64.41,-5.28,60.78,224.46,317.89,64.87,3.64,6.28,0.44,0.07
4.10,-235.69,-17.79,-5.28,67.38,234.82,335.69,66.49,3.64,6.28,0.44,0.07
4.16,-247.18,-11.50,-5.28,78.07,280.54,347.18,72.25,-3.14,1.57,0.44,0.08
4.22,-254.17,-6.98,-5.28,67.84,220.90,354.17,61.67,3.64,6.28,0.45,0.08
4.29,-282.98,-28.81,-5.28,70.51,212.48,382.98,66.70,3.64,6.28,0.45,0.08
4.35,-287.29,-4.31,-5.28,66.09,195.92,387.29,69.44,3.64,6.28,0.45,0.09
4.42,-289.37,-2.08,-5.24,66.72,209.77,389.37,68.50,3.66,6.28,0.44,0.09
4.48,-272.41,16.96,-1.61,63.35,218.53,372.41,69.60,5.47,6.28,0.44,0.10
4.54,-278.01,-5.60,-5.28,60.36,226.28,378.01,66.09,3.64,6.28,0.44,0.11
4.61,-303.29,-25.27,-5.28,68.36,204.80,403.29,67.48,3.64,6.28,0.44,0.11
4.67,-330.67,-27.38,-5.28,68.73,188.58,430.67,85.80,3.64,6.28,0.44,0.12
4.74,-308.46,22.21,-0.00,68.56,137.02,408.46,102.46,6.28,6.28,0.44,0.12
4.80,-290.16,18.30,-1.02,65.26,181.88,390.16,67.35,5.77,6.28,0.44,0.13
4.86,-305.84,-15.68,-5.28,64.81,197.77,405.84,68.20,3.64,6.28,0.43,0.14
4.93,-301.01,4.83,-3.80,69.04,171.89,401.01,88.42,4.38,6.28,0.43,0.14
4.99,-284.51,16.49,-1.81,67.77,160.98,384.51,95.70,5.37,6.28,0.43,0.15
5.06,-260.91,23.61,-0.00,65.48,156.31,360.91,89.53,6.28,6.28,0.43,0.16
5.12,-250.10,10.81,-3.11,70.60,164.90,350.10,79.65,4.72,6.28,0.42,0.16
5.18,-255.04,-4.94,-5.28,64.23,137.34,355.04,80.60,3.64,6.28,0.42,0.17
5.25,-250.24,4.80,-3.81,59.83,121.60,350.24,101.79,4.37,6.28,0.42,0.18
5.31,-238.85,11.39,-3.11,65.78,116.74,338.85,107.72,4.73,6.28,0.42,0.18
5.38,-206.02,32.82,-0.00,69.29,118.87,306.02,99.74,6.28,6.28,0.41,0.19
5.44,-197.19,8.84,-3.12,67.94,114.43,297.19,74.44,4.72,6.28,0.41,0.19
5.50,-174.96,22.22,-0.00,62.88,110.98,274.96,85.78,6.28,6.28,0.40,0.20
5.57,-162.05,12.92,-3.12,63.31,109.05,262.05,66.31,4.72,6.28,0.40,0.21
5.63,-143.35,18.70,-0.82,70.49,109.45,243.35,74.65,5.87,6.28,0.40,0.21
5.70,-132.55,10.80,-3.11,65.58,105.82,232.55,66.85,4.72,6.28,0.39,0.22
5.76,-122.71,9.85,-3.12,61.35,104.92,222.71,67.94,4.72,6.28,0.39,0.22
5.82,-126.48,-3.78,-5.28,68.01,91.15,226.48,68.29,3.64,6.28,0.38,0.23
5.89,-94.47,32.02,0.44,69.60,65.32,194.47,87.13,6.28,6.06,0.38,0.24
5.95,-106.49,-12.03,-5.28,64.79,74.41,206.49,67.96,3.64,6.28,0.37,0.24
6.02,-73.30,33.20,1.62,63.61,65.78,173.30,72.70,6.28,5.47,0.37,0.25
6.08,-54.11,19.18,2.04,68.33,62.00,154.11,73.33,6.28,5.26,0.36,0.25
6.14,-54.37,-0.26,-3.60,69.04,66.00,154.37,67.74,4.48,6.28,0.36,0.26
6.21,-41.32,13.05,0.65,67.25,64.55,141.32,66.86,6.28,5.95,0.35,0.26
6.27,-45.10,-3.78,-4.66,68.62,62.29,145.10,63.07,3.95,6.28,0.35,0.27
6.34,-40.16,4.94,-1.84,70.94,68.48,140.16,67.15,5.36,6.28,0.34,0.27
6.40,-41.68,-1.52,-3.05,66.78,64.43,141.68,67.02,4.76,6.28,0.34,0.28
6.46,-29.74,11.95,1.29,68.28,63.82,129.74,58.75,6.28,5.63,0.33,0.28
6.53,-23.56,6.18,-1.38,73.94,72.71,123.56,72.09,5.59,6.28,0.33,0.29
6.59,-14.37,9.19,0.53,72.18,65.43,114.37,69.33,6.28,6.01,0.32,0.29
6.66,-12.77,1.60,-1.04,63.41,66.35,112.77,65.44,5.76,6.28,0.32,0.29
6.72,-14.36,-1.59,-2.36,66.28,72.79,114.36,65.41,5.10,6.28,0.31,0.30
6.78,-11.79,2.56,-0.88,72.57,68.40,111.79,69.45,5.84,6.28,0.30,0.30
6.85,-11.82,-0.03,-1.64,63.69,67.14,111.82,64.50,5.46,6.28,0.30,0.31
6.91,-4.88,6.95,-0.47,71.26,70.86,104.88,65.47,6.05,6.28,0.29,0.31
6.98,-7.65,-2.77,-2.96,65.74,63.57,107.65,69.81,4.80,6.28,0.28,0.32
7.04,4.35,12.00,1.82,59.12,67.32,95.65,73.77,6.28,5.37,0.28,0.32
7.10,14.41,10.07,0.97,64.19,70.59,85.59,66.23,6.28,5.80,0.27,0.33
7.17,13.23,-1.18,-2.01,74.04,65.72,86.77,67.44,5.28,6.28,0.27,0.33
7.23,12.48,-0.75,-1.81,68.05,70.28,87.52,69.70,5.37,6.28,0.26,0.33
7.30,15.63,3.15,0.33,67.19,65.64,84.37,66.78,6.28,6.12,0.25,0.34
7.36,17.71,2.08,-0.53,68.30,68.67,82.29,66.92,6.02,6.28,0.25,0.34
7.42,17.63,-0.08,-1.52,63.34,64.78,82.37,67.90,5.52,6.28,0.24,0.35
7.49,19.59,1.96,-0.62,67.06,66.26,80.41,69.04,5.97,6.28,0.23,0.35
7.55,25.86,6.27,1.56,66.96,73.14,74.14,66.87,6.28,5.50,0.23,0.35
7.62,22.56,-3.30,-3.11,68.89,69.04,77.44,65.05,4.72,6.28,0.22,0.36
7.68,23.99,1.43,-0.98,70.02,71.71,76.01,67.94,5.79,6.28,0.21,0.36
7.74,22.65,-1.33,-1.96,65.13,68.74,77.35,70.39,5.30,6.28,0.21,0.37
7.81,21.89,-0.76,-1.78,62.22,67.92,78.11,70.00,5.39,6.28,0.20,0.37
7.87,18.94,-2.96,-3.06,68.57,65.31,81.06,57.35,4.75,6.28,0.19,0.37
7.94,23.90,4.96,1.33,62.74,67.96,76.10,64.42,6.28,5.61,0.19,0.38
8.00,20.95,-2.94,-3.04,68.65,65.65,79.05,63.78,4.76,6.28,0.18,0.38
8.06,32.25,11.30,1.76,63.61,73.87,67.75,66.01,6.28,5.40,0.17,0.38
8.13,29.64,-2.61,-2.71,67.29,61.85,70.36,62.43,4.92,6.28,0.17,0.38
8.19,17.55,-12.10,-3.11,69.15,69.41,82.45,66.11,4.72,6.28,0.16,0.39
8.26,22.41,4.86,1.27,70.16,67.71,77.59,67.81,6.28,5.64,0.15,0.39
8.32,20.02,-2.38,-2.56,64.34,74.68,79.98,68.46,5.00,6.28,0.15,0.39
8.38,24.99,4.96,1.36,69.94,71.05,75.01,65.86,6.28,5.60,0.14,0.40
8.45,22.10,-2.88,-2.97,64.35,68.85,77.90,68.05,4.80,6.28,0.13,0.40
8.51,16.27,-5.84,-3.11,68.56,67.49,83.73,66.58,4.72,6.28,0.13,0.40
8.58,15.72,-0.55,-1.72,60.98,67.40,84.28,66.56,5.42,6.28,0.12,0.40
8.64,24.20,8.48,1.47,67.24,68.14,75.80,61.33,6.28,5.54,0.11,0.41
8.70,19.81,-4.39,-3.11,71.49,71.20,80.19,71.11,4.72,6.28,0.11,0.41
8.77,13.88,-5.93,-3.12,66.85,67.25,86.12,64.03,4.72,6.28,0.10,0.41
8.83,18.89,5.01,1.23,67.86,66.32,81.11,63.29,6.28,5.66,0.09,0.41
8.90,16.73,-2.16,-2.45,65.25,64.69,83.27,66.06,5.06,6.28,0.08,0.41
8.96,11.64,-5.09,-3.12,68.59,63.19,88.36,68.76,4.72,6.28,0.08,0.41
9.02,16.14,4.50,1.05,69.46,72.35,83.86,68.36,6.28,5.76,0.07,0.42
9.09,22.10,5.96,1.38,72.87,67.58,77.90,65.99,6.28,5.59,0.06,0.42
9.15,12.27,-9.83,-3.12,74.48,64.11,87.73,66.91,4.72,6.28,0.06,0.42
9.22,10.35,-1.92,-2.38,62.00,66.04,89.65,72.75,5.09,6.28,0.05,0.42
9.28,7.34,-3.01,-3.12,66.52,67.34,92.66,64.89,4.72,6.28,0.04,0.42
9.34,2.82,-4.52,-3.12,65.91,67.34,97.18,66.35,4.72,6.28,0.03,0.42
9.41,2.21,-0.61,-1.75,70.65,63.59,97.79,68.89,5.40,6.28,0.03,0.42
9.47,1.92,-0.29,-1.61,72.82,72.27,98.08,62.16,5.47,6.28,0.02,0.42
9.54,-0.09,-2.01,-2.43,63.25,61.11,100.09,68.37,5.07,6.28,0.01,0.42
9.60,1.92,2.01,-0.51,65.86,70.59,98.08,67.09,6.03,6.28,0.01,0.42
9.66,1.25,-0.67,-1.78,66.00,65.75,98.75,64.69,5.39,6.28,-0.00,0.42
9.73,7.50,6.25,0.64,73.90,69.89,92.50,62.21,6.28,5.96,-0.01,0.42
9.79,2.92,-4.59,-3.12,68.99,73.20,97.08,64.81,4.72,6.28,-0.02,0.42
9.86,6.95,4.03,0.53,70.00,62.06,93.05,68.99,6.28,6.01,-0.02,0.42
9.92,0.90,-6.05,-3.12,60.68,68.10,99.10,60.24,4.72,6.28,-0.03,0.42
9.98,5.11,4.21,0.41,66.80,68.81,94.89,64.54,6.28,6.08,-0.04,0.42
10.05,8.97,3.86,0.65,66.28,69.73,91.03,67.52,6.28,5.95,-0.05,0.42
10.11,0.75,-8.22,-3.12,74.29,71.77,99.25,72.52,4.72,6.28,-0.06,0.42
10.18,-3.89,-4.64,-3.13,66.06,65.69,103.89,59.75,4.72,6.28,-0.06,0.42
10.24,-4.71,-0.82,-1.86,67.15,66.94,104.71,64.84,5.35,6.28,-0.07,0.42
10.30,-8.39,-3.68,-3.18,65.03,71.97,108.39,71.49,4.69,6.28,-0.08,0.42
10.37,-6.18,2.21,-0.54,72.95,71.26,106.18,60.05,6.01,6.28,-0.08,0.42
10.43,-12.08,-5.90,-3.24,59.61,67.83,112.08,72.08,4.66,6.28,-0.09,0.42
10.50,-3.77,8.31,-0.13,61.27,63.54,103.77,67.29,6.22,6.28,-0.10,0.41
10.56,-12.39,-8.62,-3.24,66.62,68.00,112.39,66.22,4.66,6.28,-0.11,0.41
10.62,-11.03,1.36,-1.02,67.34,62.64,111.03,70.09,5.77,6.28,-0.11,0.41
10.69,-5.90,5.13,-0.61,66.79,64.28,105.90,74.91,5.98,6.28,-0.12,0.41
10.75,-0.04,5.85,-0.05,65.11,67.30,100.04,67.72,6.26,6.28,-0.13,0.41
10.82,-8.91,-8.87,-3.18,65.25,69.54,108.91,72.60,4.69,6.28,-0.14,0.40
10.88,-6.88,2.04,-0.61,67.12,73.66,106.88,65.67,5.97,6.28,-0.14,0.40
10.94,-0.64,6.23,-0.11,70.62,62.21,100.64,64.48,6.23,6.28,-0.15,0.40
11.01,-3.38,-2.74,-2.89,67.89,62.06,103.38,63.19,4.83,6.28,-0.16,0.40
11.07,-11.38,-8.00,-3.23,63.57,71.76,111.38,64.45,4.67,6.28,-0.16,0.39
11.14,-12.00,-0.61,-1.89,66.70,66.03,112.00,62.98,5.33,6.28,-0.17,0.39
11.20,-12.51,-0.51,-1.86,65.41,63.78,112.51,66.78,5.35,6.28,-0.18,0.39
11.26,-9.39,3.11,-0.73,66.53,63.93,109.39,69.14,5.91,6.28,-0.18,0.39
11.33,-12.49,-3.10,-3.25,70.41,62.89,112.49,69.12,4.66,6.28,-0.19,0.38
11.39,-17.02,-4.53,-3.35,72.71,64.70,117.02,66.49,4.61,6.28,-0.20,0.38
11.46,-10.20,6.82,-0.82,66.84,67.55,110.20,66.22,5.87,6.28,-0.20,0.38
11.52,-7.93,2.27,-0.65,69.89,63.64,107.93,61.03,5.95,6.28,-0.21,0.37
11.58,-8.18,-0.25,-1.67,64.71,68.43,108.18,70.26,5.45,6.28,-0.22,0.37
11.65,-5.07,3.11,-0.45,73.27,62.17,105.07,67.09,6.06,6.28,-0.22,0.36
11.71,-12.15,-7.08,-3.24,66.94,65.01,112.15,63.23,4.66,6.28,-0.23,0.36
11.78,-10.70,1.45,-0.96,64.59,65.60,110.70,63.10,5.80,6.28,-0.24,0.36
11.84,-7.89,2.82,-0.64,63.94,66.61,107.89,65.68,5.96,6.28,-0.24,0.35
11.90,-10.14,-2.26,-2.64,70.17,68.93,110.14,71.39,4.96,6.28,-0.25,0.35
11.97,-5.36,4.79,-0.53,67.35,69.51,105.36,63.13,6.01,6.28,-0.25,0.34
12.03,-2.11,3.25,-0.22,68.72,74.47,102.11,71.76,6.17,6.28,-0.26,0.34
12.10,-12.86,-10.75,-3.25,63.50,58.91,112.86,65.46,4.65,6.28,-0.27,0.33
12.16,-14.96,-2.11,-2.62,69.39,65.73,114.96,64.38,4.97,6.28,-0.27,0.33
12.22,-11.90,3.06,-0.88,61.52,66.10,111.90,67.25,5.84,6.28,-0.28,0.32
12.29,-5.85,6.05,-0.61,65.92,67.31,105.85,66.42,5.98,6.28,-0.28,0.32
12.35,-7.43,-1.59,-2.25,66.18,64.12,107.43,70.06,5.15,6.28,-0.29,0.31
12.42,-5.15,2.29,-0.46,62.26,68.67,105.15,66.04,6.05,6.28,-0.29,0.31
12.48,-3.49,1.65,-0.72,63.77,66.92,103.49,65.95,5.92,6.28,-0.30,0.30
12.54,-10.55,-7.06,-3.21,65.20,67.58,110.55,63.76,4.67,6.28,-0.31,0.30
12.61,-11.61,-1.06,-2.08,70.20,66.71,111.61,71.98,5.24,6.28,-0.31,0.29
12.67,-9.25,2.36,-0.73,67.66,67.60,109.25,69.22,5.92,6.28,-0.32,0.29
12.74,-11.01,-1.76,-2.40,65.30,68.33,111.01,67.55,5.08,6.28,-0.32,0.28
12.80,-6.20,4.81,-0.60,64.87,68.59,106.20,63.11,5.98,6.28,-0.33,0.28
12.86,-5.84,0.37,-1.37,69.36,71.79,105.84,65.76,5.60,6.28,-0.33,0.27
12.93,-10.05,-4.21,-3.20,65.74,65.18,110.05,67.15,4.68,6.28,-0.34,0.26
12.99,-7.23,2.82,-0.60,71.10,66.21,107.23,64.48,5.98,6.28,-0.34,0.26
13.06,-5.66,1.58,-0.79,63.35,68.30,105.66,66.23,5.88,6.28,-0.34,0.25
13.12,-6.65,-1.00,-1.96,69.60,65.50,106.65,64.67,5.30,6.28,-0.35,0.25
13.18,-13.54,-6.89,-3.27,70.07,65.66,113.54,69.36,4.65,6.28,-0.35,0.24
13.25,-4.74,8.80,0.22,68.17,61.75,104.74,60.07,6.28,6.17,-0.36,0.23
13.31,-9.22,-4.48,-3.19,68.30,69.76,109.22,61.90,4.69,6.28,-0.36,0.23
13.38,-7.30,1.92,-0.66,71.23,65.35,107.30,65.86,5.95,6.28,-0.37,0.22
13.44,-5.27,2.03,-0.53,69.42,65.48,105.27,69.03,6.02,6.28,-0.37,0.21
13.50,-8.73,-3.47,-3.18,72.69,70.77,108.73,65.94,4.69,6.28,-0.37,0.21
13.57,-7.55,1.18,-1.02,68.05,68.36,107.55,67.74,5.77,6.28,-0.38,0.20
13.63,-6.59,0.96,-1.11,66.64,67.75,106.59,66.66,5.72,6.28,-0.38,0.19
13.70,-12.26,-5.67,-3.24,71.48,61.27,112.26,69.79,4.66,6.28,-0.38,0.19
13.76,-10.84,1.42,-0.98,66.79,71.73,110.84,68.38,5.79,6.28,-0.39,0.18
13.82,2.58,13.42,2.52,63.49,62.94,97.42,58.37,6.28,5.02,-0.39,0.17
13.89,-5.15,-7.72,-3.14,64.55,68.87,105.15,72.76,4.71,6.28,-0.39,0.17
13.95,-6.60,-1.46,-2.18,68.31,64.16,106.60,69.70,5.19,6.28,-0.39,0.16
14.02,-6.84,-0.24,-1.64,71.91,66.79,106.84,73.99,5.46,6.28,-0.40,0.15
14.08,-5.46,1.38,-0.89,66.27,63.62,105.46,67.69,5.83,6.28,-0.40,0.15
14.14,-3.03,2.43,-0.29,69.09,64.45,103.03,67.24,6.13,6.28,-0.40,0.14
14.21,-0.03,3.00,-0.04,64.90,68.60,100.03,68.74,6.26,6.28,-0.41,0.13
14.27,-8.86,-8.83,-3.18,72.11,74.53,108.86,62.56,4.69,6.28,-0.41,0.13
14.34,-4.22,4.64,-0.44,58.67,69.73,104.22,66.24,6.06,6.28,-0.41,0.12
14.40,-16.94,-12.72,-3.34,69.12,68.45,116.94,66.85,4.61,6.28,-0.41,0.11
14.46,-4.34,12.61,2.09,68.10,70.07,104.34,64.28,6.28,5.23,-0.42,0.10
14.53,-8.20,-3.86,-3.17,59.54,65.94,108.20,62.95,4.69,6.28,-0.42,0.10
14.59,0.23,8.42,-0.02,66.18,69.47,99.77,67.64,6.27,6.28,-0.42,0.09
14.66,-7.00,-7.22,-3.16,67.72,68.19,107.00,67.77,4.70,6.28,-0.42,0.08
14.72,-18.10,-11.10,-3.37,66.46,69.09,118.10,63.50,4.59,6.28,-0.42,0.08
14.78,-13.14,4.96,-1.02,70.11,67.44,113.14,68.75,5.77,6.28,-0.42,0.07
14.85,-6.44,6.71,-0.60,56.67,66.81,106.44,74.41,5.98,6.28,-0.43,0.06
14.91,-17.81,-11.37,-3.37,62.22,68.70,117.81,69.53,4.60,6.28,-0.43,0.05
14.98,-15.11,2.69,-1.06,66.98,67.42,115.11,68.77,5.75,6.28,-0.43,0.05
15.04,-22.01,-6.89,-3.48,63.36,68.98,122.01,68.35,4.54,6.28,-0.43,0.04
15.10,-18.95,3.06,-1.26,65.11,67.07,118.95,62.24,5.65,6.28,-0.43,0.03
15.17,-18.34,0.61,-1.55,63.16,69.24,118.34,65.10,5.51,6.28,-0.43,0.02
15.23,-17.03,1.31,-1.32,68.59,67.72,117.03,66.67,5.62,6.28,-0.43,0.02
15.30,-18.42,-1.39,-2.33,68.07,69.40,118.42,62.36,5.11,6.28,-0.43,0.01
15.36,-18.59,-0.17,-1.86,63.71,73.01,118.59,64.51,5.35,6.28,-0.43,0.00
15.42,-17.34,1.25,-1.35,68.59,64.84,117.34,67.13,5.60,6.28,-0.43,-0.01
15.49,-19.43,-2.09,-2.69,67.60,66.21,119.43,71.89,4.94,6.28,-0.43,-0.01
15.55,-12.59,6.84,-0.94,66.49,60.17,112.59,72.15,5.81,6.28,-0.43,-0.02
15.62,-14.56,-1.97,-2.54,69.22,69.78,114.56,65.65,5.01,6.28,-0.43,-0.03
15.68,-9.98,4.58,-0.82,71.95,65.24,109.98,71.23,5.87,6.28,-0.43,-0.03
15.74,-12.13,-2.14,-2.60,66.28,69.77,112.13,69.13,4.98,6.28,-0.43,-0.04
15.81,-10.65,1.48,-0.95,70.04,58.77,110.65,69.33,5.80,6.28,-0.43,-0.05
15.87,-11.03,-0.38,-1.78,64.57,68.05,111.03,68.56,5.39,6.28,-0.43,-0.06
15.94,-6.29,4.75,-0.60,66.14,67.04,106.29,65.30,5.98,6.28,-0.42,-0.06
16.00,-8.70,-2.41,-2.72,64.72,69.80,108.70,66.99,4.92,6.28,-0.42,-0.07
16.06,-8.66,0.04,-1.55,69.22,67.63,108.66,68.11,5.50,6.28,-0.42,-0.08
16.13,-4.21,4.45,-0.42,66.56,68.18,104.21,75.03,6.07,6.28,-0.42,-0.09
16.19,-8.12,-3.91,-3.17,63.94,64.55,108.12,64.21,4.69,6.28,-0.42,-0.09
16.26,-8.28,-0.16,-1.63,70.86,69.39,108.28,66.78,5.47,6.28,-0.42,-0.10
16.32,-9.89,-1.62,-2.31,64.82,73.57,109.89,68.04,5.13,6.28,-0.41,-0.11
16.38,-11.03,-1.13,-2.10,70.23,70.44,111.03,61.30,5.23,6.28,-0.41,-0.12
16.45,-8.25,2.78,-0.66,63.35,69.80,108.25,64.73,5.95,6.28,-0.41,-0.12
16.51,-4.60,3.65,-0.42,68.87,61.68,104.60,70.96,6.07,6.28,-0.41,-0.13
16.58,-6.45,-1.85,-2.38,66.14,70.21,106.45,69.51,5.09,6.28,-0.40,-0.14
16.64,-3.89,2.56,-0.36,66.09,63.52,103.89,63.04,6.10,6.28,-0.40,-0.14
16.70,-2.21,1.67,-0.70,74.45,62.00,102.21,73.81,5.93,6.28,-0.40,-0.15
16.77,-5.69,-3.48,-3.14,67.00,68.26,105.69,66.55,4.71,6.28,-0.40,-0.16
16.83,-3.03,2.67,-0.29,70.75,68.02,103.03,67.79,6.14,6.28,-0.39,-0.17
16.90,-6.22,-3.19,-3.15,67.89,66.42,106.22,70.90,4.71,6.28,-0.39,-0.17
16.96,-7.04,-0.82,-1.89,66.85,72.91,107.04,68.50,5.33,6.28,-0.39,-0.18
17.02,-9.54,-2.50,-2.79,65.96,68.70,109.54,67.88,4.89,6.28,-0.38,-0.19
17.09,-6.65,2.90,-0.56,63.12,63.43,106.65,69.16,6.00,6.28,-0.38,-0.19
17.15,-1.65,5.00,-0.21,64.56,66.18,101.65,72.45,6.17,6.28,-0.38,-0.20
17.22,-0.52,1.13,-0.98,70.28,65.23,100.52,70.18,5.79,6.28,-0.37,-0.21
17.28,2.66,3.18,0.18,69.72,62.23,97.34,62.27,6.28,6.19,-0.37,-0.21
17.34,2.31,-0.34,-1.64,69.06,68.62,97.69,68.48,5.46,6.28,-0.36,-0.22
17.41,-6.15,-8.47,-3.15,71.22,68.32,106.15,67.51,4.71,6.28,-0.36,-0.23
17.47,2.73,8.89,0.28,62.44,69.85,97.27,67.86,6.28,6.14,-0.36,-0.23
